,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
10321,14463527,Brooklyn,Private room in rental unit,Private room,40.72348,-73.93967,1,1.0,1.0,1.0,50,0,0,0,0,1,1,1,0,0
10322,14465415,Queens,Entire townhouse,Entire home/apt,40.73378,-73.85349,6,1.0,3.0,5.0,175,1,1,0,1,1,1,1,0,0
10323,14466193,Brooklyn,Private room in rental unit,Private room,40.60859,-73.97754,2,1.0,1.0,1.0,63,0,1,0,0,1,0,1,1,0
10324,14467010,Manhattan,Private room in rental unit,Private room,40.72365,-73.97504,2,1.0,1.0,1.0,60,0,0,0,1,1,1,1,1,0
10325,14467602,Manhattan,Private room in rental unit,Private room,40.71284,-73.99425,1,2.0,1.0,1.0,130,1,0,0,1,1,1,1,0,0
10326,14469737,Brooklyn,Entire rental unit,Entire home/apt,40.71813,-73.95826,6,1.0,3.0,3.0,400,2,0,0,1,1,0,1,0,0
10327,14470437,Brooklyn,Entire rental unit,Entire home/apt,40.67482,-73.92717,2,1.0,1.0,1.0,190,2,1,0,1,1,1,1,0,1
10328,14471418,Manhattan,Entire rental unit,Entire home/apt,40.76049,-73.97574,2,1.0,1.0,1.0,800,3,1,0,1,0,1,1,1,0
10329,14472272,Brooklyn,Entire rental unit,Entire home/apt,40.69386,-73.9457,6,1.0,2.0,2.0,70,0,1,0,0,1,1,1,0,0
10330,14472317,Brooklyn,Private room in rental unit,Private room,40.71148,-73.95077,2,1.0,1.0,1.0,110,1,1,0,1,1,1,1,1,0
10331,14473545,Brooklyn,Entire rental unit,Entire home/apt,40.69069,-73.96708,3,1.0,1.0,1.0,140,1,1,0,1,1,0,1,1,0
10332,14475417,Queens,Shared room in rental unit,Shared room,40.74839,-73.86328,1,1.0,1.0,3.0,45,0,1,0,1,1,1,1,0,0
10334,14480430,Brooklyn,Private room in rental unit,Private room,40.69615,-73.92619,2,1.0,1.0,1.0,55,0,1,0,1,1,1,1,0,0
10335,14483469,Manhattan,Entire rental unit,Entire home/apt,40.73575,-73.99217,8,2.0,3.0,3.0,800,3,1,0,1,1,1,1,1,0
10337,14485082,Brooklyn,Entire rental unit,Entire home/apt,40.60931,-73.95393,4,1.0,1.0,1.0,73,0,1,0,1,1,1,1,1,1
10338,14485372,Manhattan,Entire condominium (condo),Entire home/apt,40.78608,-73.94929,5,1.0,2.0,2.0,166,1,1,0,1,1,1,1,1,0
10340,14489610,Brooklyn,Entire rental unit,Entire home/apt,40.73485,-73.95424,2,1.0,1.0,1.0,128,1,0,0,1,1,1,1,0,0
10341,14489615,Queens,Entire residential home,Entire home/apt,40.6711,-73.77977,2,1.0,1.0,2.0,100,1,1,0,0,1,1,1,0,0
10343,14499400,Brooklyn,Entire rental unit,Entire home/apt,40.71418,-73.94561,4,1.0,1.0,1.0,200,2,1,0,1,1,1,1,1,0
10344,14503754,Brooklyn,Entire rental unit,Entire home/apt,40.67025,-73.95006,2,1.0,1.0,1.0,135,1,1,0,1,1,1,0,0,0
10345,14506036,Manhattan,Entire rental unit,Entire home/apt,40.80838,-73.93881,4,1.0,1.0,2.0,115,1,1,0,1,1,1,1,0,0
10347,14507274,Manhattan,Entire rental unit,Entire home/apt,40.72537,-73.97861,2,1.0,1.0,2.0,165,1,0,0,1,1,1,1,0,0
10348,14516582,Brooklyn,Entire rental unit,Entire home/apt,40.6893,-73.95181,4,1.0,1.0,1.0,185,2,0,0,1,1,1,1,1,0
10350,14520743,Manhattan,Private room in rental unit,Private room,40.76053,-73.99111,2,1.0,1.0,1.0,95,1,0,0,1,1,1,1,0,0
10351,14521738,Brooklyn,Entire rental unit,Entire home/apt,40.66101,-73.96266,2,1.0,1.0,2.0,59,0,0,0,1,1,1,1,1,0
10352,14522175,Manhattan,Entire rental unit,Entire home/apt,40.71954,-73.98761,2,1.0,1.0,1.0,175,1,1,0,1,1,1,1,1,0
